SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
105-022	05 PİN	      MERCEDES          	51-1553 MERCEDES SPRINTER & VİTO KALORİFER REZİSTANS SOKETI ( 5 PIN )		5K022 5S032 5022
105-023	05 PİN	 FIAT               	51-1350-1 REZISTANS SOKETI FIAT FIORINO / G. PUNTO / LİNEA / DUCATO & NEMO / JUMPER & BOXER / BİPPER & CORSA D/E		5016 5K016 5110 5S031 5016 5K016
105-023-2	05 PİN	  PEUGEOT              	51-1350-2 KALORİFER REZISTANS SOKETI PEUGEOT P307 *** MANUEL KLIMA ( 5 PIN )		5016A 5K016A 5S031 5016A
105-023-3	05 PİN	                	51-1369 REZISTANS SOKETI DOBLO PALIO ( 5 PIN )		5017 5K017 5017 5S029 5017 5K017
105-025	05 PİN	                	51-1222 UNIVERSAL MINI ROLE SOKETI ( 5 PIN )		5005 HB20
105-026	05 PİN	        NISSAN TOYOTA       	51-1080 TOYOTA & NİSSAN SİLECEK MOTOR SOKETI ( 5 PIN )		5014 5K014 5116 5S027 5014 5K014
105-027	05 PİN	                	51-1296 JAPON SOKET ( 5 PIN )		5015 5K015 5015 5K015
105-028	05 PİN	RENAULT        NISSAN  HYUNDAI      	51-1376 HYUNDAİ & RENAULT & NİSSAN DEPO ŞAMANDIRA SOKETI ( 5 PIN )		5020 5K020 5006 5S026 5020 5K020
105-031	05 PİN	   OPEL             	51-1604 OPEL ASTRA VECTRA KALORİFER REZİSTANS SOKETI  ( 5 PIN )		5S035
105-032	05 PİN	   OPEL             	OPEL ASTRA F & VECTRA B KALORİFER KLİMALI REZİSTANS SOKETİ BEHR TİPİ   (5 PİN)		5S036
106-001	06 PİN	               PMC 	51-1004 BOSCH TIPI SOKET ( 6 PIN )		6001 6K001 5759 6S008 6001 6K001
106-002	06 PİN	RENAULT FIAT PEUGEOT OPEL    FORD      VOLVO  PMC 	51-1018-1 RENAULT & PSA & FİAT & FORD ŞAMANDIRA AKIŞMETRE EGR SOKETİ ( 6 PIN ) SIGMA   ***OEM		6003 6K003 5353 6S021 6003 6K003
106-002-2	06 PİN	RENAULT FIAT PEUGEOT OPEL    FORD      VOLVO   	51-1018-2  SIGMA SOKETI     ***6 PIN  ****FISLERIN HEPSI KUCUK		6003C 5352 6003B
106-002-3	06 PİN	  PEUGEOT             PMC 	KAPI SOKETİ KIA BENZİN POMPA VE FAR SOKETİ CITROEN PEUGEOT (6 PIN)	YENİ	6003X
106-003	06 PİN	RENAULT  PEUGEOT              	51-1185 SIGMA SOKET KARSILIGI ( 6 PIN )		6003E 5353B
106-004	06 PİN	  PEUGEOT              	51-1029-1 DIJITAL KLIMA REZISTANS SOKETI C4 / MGN II  ( 6 PIN )  ***KALIN KABLO		5008 5K008 5325B 6S033 5008 6K030
106-005	06 PİN	 FIAT PEUGEOT              	51-1045 UNIVERSAL TELLİ SOKET   ( 6 PIN )		6009 6K009 6543 6S007 6009 6K009
106-006K	06 PİN	                	51-1058 SUPER SEAL SOKET & TRANSİT PİKAP STOP SOKETİ ( 6 PIN )		6008 6K008 5687 6S009 6008 6K008
106-007K	06 PİN	                	51-1059 SUPER SEAL SOKET KARSILIGI ( 6 PIN )		6008E 6K008E 5761 6S010 6008E 6K008E
106-008	06 PİN	   OPEL             	51-1258 OPEL SOKET ( 6 PIN ) 1		6006 6K006 6006 6S012 6006 6K006
106-009	06 PİN	       FORD         	51-1061 FORD FOCUS EGR SOKETI ( 6 PIN )		6013 6K013 9696B 6S024 6013 6K013
106-009-1	06 PİN	       FORD        PMC 	51-1061-1 FORD TRANSİT FOCUS JUMPER BOXER HAVA DEBIMETRE SOKETI ( 6 PIN )		6013A 6K013A 9696A 6S025 6013A 6K013A
106-010	06 PİN	RENAULT                	51-1026 RENAULT LAGUNA FAR VE MEGANE I SAMANDIRA SOKETI ( 6 PIN )		6002 6K002 5682 6S035 6002 6K002
106-010-1	06 PİN	RENAULT                	51-1026 RENAULT LAGUNA FAR VE MEGANE I SAMANDIRA SOKETI ** SİYAH ( 6 PIN )		6S035 6K002S
106-011	06 PİN	   OPEL             	51-1081 ASTRA G ATEŞLME BOBIN SOKETI ( 6 PIN )		6023 6K023 2129 6S011 6023 6K023
106-012	06 PİN	 FIAT               	51-1060 FİAT DOBLO & ALBEA KLIMA BASINC MUSUR SOKETI ( 6 PIN )		5005 5K005 5086 6S022 5005 6K020A
106-013	06 PİN	              ISUZU  	51-1581 ISUZU & IS MAKINASI SOKETI ( 6PIN )		6028
106-014K	06 PİN	                	51-1190    İŞ MAKİNA SOKETİ KABLOLU (6 PİN)		6010 6K010 6S047 6010 6K010
106-015	06 PİN	          HYUNDAI      	51-1230 HYUNDAI FAR SOKETI ( 6 PIN )		6019 6K019 5268 6S049 6019 6K019
106-016	06 PİN	          HYUNDAI      	51-1230-1 HYUNDAI FAR SOKETI KARSILIGI ( 6 PIN )		5268B
106-017	06 PİN	                	51-1342 DELPHI SOKET ( 6 PIN )		6017 6K017 6S019 6017 6K017
106-018	06 PİN	              ISUZU  	51-1297 ISUZU STOP MÜŞÜRÜ SOKETİ ( 6 PIN )		6020 6K020 5240 6020 6K020
106-019	06 PİN	              ISUZU  	51-1343   ISUZI SOKET KARSILIGI ( 6 PIN )		6020E 6K020E 6020E 6K020E
106-020K	06 PİN	                	51-1306K İŞMAKİNASI DEUTSCH SOKET DT06-6S ***** KABLOLU  ( 6 PIN )		6018 6K018 4057 6S050 6018 6K018K
106-021K	06 PİN	                	51-1305K İŞ MAKİNASI DEUTSCH SOKET KARSILIGI *****KABLOLU DT04-6P ( 6 PIN )		6018E 6K018E 4056 6S051 6018E 6K018EK
106-022	06 PİN	                	51-1398 İŞ MAKİNASI DEUTSCH ( YM ) SOKET *****KABLOLU  DTM04-6S  ( 6 PIN )		6K018A 4037 6S052 6K018A
106-023	06 PİN	                	51-1399 İŞ MAKİNASI DEUTSCH ( YM ) SOKET KARSILIGI *****KABLOLU  DTM04-6P   ( 6 PIN )		6K018AE 4038 6S053 6K018AE
106-024	06 PİN	         TOYOTA HYUNDAI      	51-1298 TOYOTA & HYUNDAİ SOKET ( 6 PIN )		6021 6K021 6S046 6021 6K021
106-025	06 PİN	                	51-1400 IS MAKINA  & JAPON ARAÇ BENZİN DEPO ŞAMANDIRA SOKETI ( 6 PIN )		6024 6K024 6037 6S045 6024
106-026	06 PİN	                	51-1499 JAPON İŞ MAKİNASI SOKETI ( 6 PIN )		6K028 4S055 6K028
106-027	06 PİN	RENAULT                	51-1447 MEGANE II SAG/ARKA CAM DUGME SOKETI ( 6 PIN )		6027 6K027 7541 6S057 6K027
106-028	06 PİN	                	51-1554 İŞ MAKİNASI SOKETI ( 6 PIN		6030 6K030 6S048 6030
106-030	06 PİN	       FORD         	51-1578 FORD TOURNEO CUSTOM STOP SOKETI ***SİYAH  ( 6 PIN )		6031 6K031 5897 6S026 6031 6K016
106-030-1	06 PİN	       FORD         	51-1578-1 FORD FOCUS III STOP SOKETI ***GRİ  ( 6 PIN )		6032 6K032 6S027 6032 6K016
106-031	06 PİN	 FIAT               	51-1188-1 FIAT STOP SOKETI ( 6 PIN ) DUZ DUCATO FİORİNO DOBLO		6016 6K016 5824 6S031 6K016B
106-032	06 PİN	 FIAT               	51-1256 STOP SOKETI TOFAS TIP ( 6 PIN )		
106-032-1	06 PİN	 FIAT               	51-1256-1 STOP SOKETI TOFAS TIP ( 6 PIN )		6016A 6K016A 6S030 6K016A
106-033	06 PİN	       FORD         	51-1191 FORD TRANSİT STOP SOKETI ( 6 PIN )		6014 6K014 7544 6S029 6014 6K014
106-034	06 PİN	RENAULT    VOLKSWAGEN            	51-1104  VW & RENAULT EGR VALF &  KELEBEK BOGAZ SOKETI ( 6 PIN )		6007A 6K007A 5679A 6S001 6007A 6K007A
106-034-1	06 PİN	RENAULT    VOLKSWAGEN            	51-1105 VW & RENAULT EGR VALF KELEBEK BOGAZ SOKETI ***TEK TIRNAKLI***ORTA YARIK ( 6 PIN )		6007 6K007 5679B 6S004 6007 6K007
106-034-2	06 PİN	RENAULT    VOLKSWAGEN            	51-1105-1 VW & RENAULT EGR VALF KELEBEK BOGAZ SOKETI ***ÇİFT TIRNAKLI ( 6 PIN )		6007C 6K007C
106-034-3	06 PİN	RENAULT    VOLKSWAGEN            	51-1105 VW & RENAULT EGR VALF KELEBEK BOGAZ SOKETI ***TEK TIRNAKLI***ALT YARIK ( 6 PIN )		6007K
106-034-4	06 PİN	RENAULT    VOLKSWAGEN            	51-1105 VW & RENAULT EGR VALF KELEBEK BOGAZ SOKETİ ***TEK TIRNAKLI ***ÜST YARIK (6 PİN)		6S003
106-034-5	06 PİN	     BMW MERCEDES          	ADBLUE SOKETİ MERCEDES BMW	YENİ	6K039
106-035	06 PİN	RENAULT    VOLKSWAGEN            	51-1313 VW & AUDİ KAPI KİLİDİ - BOĞAZ  & RENAULT EGR SOKETİ  ( 6 PIN )		6007B 6K007B 6007 6S005 6007B 6K007B
106-036	06 PİN	    VOLKSWAGEN  MERCEDES          	51-1216 VW CADDY & CRAFTER - M.BENZ SPRENTER  ARKA STOP SOKETI ( 6 PIN )		6015 6K015 6S006 6015 6K015
106-037	06 PİN	      MERCEDES          	51-1371 MERCEDES HAVA AKIŞMETRE SOKETI ( 6 PIN )		6K036
106-038	06 PİN	    VOLKSWAGEN BMW MERCEDES          KONJEKTOR	51-1115 VW & MERCEDES & BMW DIREKSIYON KUTUSU - ŞARJ DİNAMO - GAZ PEDALI SOKETI ( 6 PIN )		6011 6K011 5780 6S015 6011 6K011
106-039	06 PİN	       FORD     MAZDA    	51-1129 FORD DEPO ŞAMANDIRA & MAZDA DISTRIBUTOR MODUL SOKETI ( 6 PIN )		6026 6K026 8151 6S023 6026 6K026
106-040	06 PİN	RENAULT    VOLKSWAGEN            	51-1186 VW & RENAULT & DACİA GAZ PEDAL POTANSIYO SOKETI ( 6 PIN )		6004 6K004 6S016 6004 6K004
106-041	06 PİN	         TOYOTA     ISUZU  	51-1437 ISUZU & TOYOTA HAVA AKISMETRE SOKETI ( 6 PIN )		6047A 6033 6K022
106-042	06 PİN	RENAULT               PMC 	51-1311 RENAULT & DACİA Y.M. DIREKSIYON POMPA ve POTANSIYOMETRE SOKETI ( 6 PIN )		6012 6K012 4075 6S020 6012 6K012
106-043	06 PİN	            MAZDA    	51-1401 DİSTRİBİTÖR ATESLEME MODULU SOKETI ( 6 PIN )		6025 6K025 6S042 6025 6K025
106-044	06 PİN	 FIAT               	51-1339 FIAT SLX / UNO CAM ANAHTAR SOKETI ( 6 PIN )		6005 6K005 6S032 6005 6K005
106-045	06 PİN	                	51-1542 CAM ANAHTAR SOKETI ( 6 PIN )		
106-046	06 PİN	 FIAT   VOLKSWAGEN BMW MERCEDES          	MERCEDES & BMW & VW HAVA AKIŞMETRE - BMW & FİAT EGEA STOP SOKETI ( 6 PIN )		6029 5016 6S013 6K010
106-047	06 PİN	      MERCEDES          	MERCEDES AXOR & DAF STOP SOKETI (6 PIN)		6048 6018 6S055 6K035A
106-048	06 PİN	                	LAND ROVER BOBİN SOKETİ  (6 PİN)		6026
106-049	06 PİN	                	VALEO TİP REZİSTANS SOKETİ (6 PİN)		6038 6S036
106-050	06 PİN	                	OTOMATİK ŞANZUMAN SOKETİ (6 PİN)		6045 6S056
106-051	06 PİN	       FORD         	STOP SOKETİ FORD TRANSİT YM (6 PİN)		6033A
106-052	06 PİN	       FORD         	STOP SOKETİ FORD TRANSİT YM (6 PİN)		6033 6K033 6S028 6K033
106-053	06 PİN	          HYUNDAI      	HYUNDAI - KIA PARK SENSÖRÜ SOKETİ (6 PİN)		6062 6032
106-054	06 PİN	RENAULT                	ŞAMANDIRA SOKETİ RENAULT MASTER ( 6 PIN)		6042 6S040
106-055	06 PİN	  PEUGEOT              	PEUGEOT CAM DÜĞME SOKETİ (6 PIN)	YENİ	6077
106-056	06 PİN	  PEUGEOT              	PEUGEOT CAM DÜĞME SOKETİ (6 PIN)	YENİ	6077A
106-057	06 PİN	  PEUGEOT              	PEUGEOT CAM DÜĞME SOKETİ (6 PIN)	YENİ	6077B
107-001K	07 PİN	                	51-1131K ARKA STOP - FAR SOKETI *****KABLOLU ( 7 PIN )		7006 7K006 5790K 7S012 7006 7K006K
107-001-1	07 PİN	      MERCEDES          	51-1476 MERCEDES ARKA STOP SOKETI ***KABLOSUZ *** İNCE FİŞLİ ( 7 PIN )		7006A 7S011 7006A 7K006A
107-002	07 PİN	                	51-1272 STOP FAR SOKET *** KARSILIGI **** KABLOLU ( 7 PIN )		7006E 7K006E 7001 7S013 7006E 7K00EK
107-003	07 PİN	          HYUNDAI      	51-1585 JAPON FAR SOKETI ( 7 PIN )		7008 7K008 7S009 7008 7K008
107-004	07 PİN	 FIAT               	51-1194    FIAT LİNEA G.PUNTO  2012-- FAR SOKETI           ( ***14 PIN ***7 KABLOLU )		7004 7K004 7004 7K004
107-005	07 PİN	       FORD         	51-1192 FORD CONNECT FAR SOKETI ( 7 PIN )		7001 7K001 5811 7S006 7001 7K001
107-006	07 PİN	 FIAT PEUGEOT              	51-1193 FİAT & PEUGEOT KIZDIRMA ROLE ATESLEME MODUL SOKETI ( 7 PIN )		7003 7K003 6544 7S005 7003 7K003
107-007	07 PİN	       FORD         	51-1452 FORD KONTAK TERMİK SOKETİ ( 7 PIN )		7005 7K005 7005
107-008	07 PİN	       FORD         	51-1114 FORD CAM ANAHTARI SOKETI ( 7 PIN )		7002 7K002 5540 7S007 7002 7K002
107-010	07 PİN	RENAULT   OPEL  BMW           	51-1584 İŞ MAKİNA SOKETİ & ATEŞLEME BOBİN SOKETİ  ( 7 PIN )		7007 7K007 7S010 7007 7K009
107-011	07 PİN	   OPEL             	51-1612 OPEL ASTRA J & CORSA E BOBİN SOKETİ (7 PİN)	YENİ	7012A 7K012 7015 7S002 7K013
107-011-1	07 PİN	   OPEL             	OPEL ASTRA J & CORSA E BOBİN SOKETİ (7 PİN)		7012 7S003 7K012
107-012K	07 PİN	      MERCEDES          	51-1605 MBENZ AXSOR KAMYON & TIR ARKA STOP SOKETI Y.M EURO 6  ( 7 PIN )		7009 7K009 5805 7S014 7009 7K007K
107-013	07 PİN	 FIAT               	FIAT DOBLO MAZOT FİLTRESİ ISITICI SOKETI  (7 PİN)		7010 7K010 7S004 7K010
107-014	07 PİN	            MAZDA    	HONDA & PROTON & MAZDA DİSTRİBÜTÖR MODÜL SOKETİ  (7 PİN)  ***KABLOLU		7011 7K011 7S001 7011 7K012A
107-015	07 PİN	      MERCEDES         PMC 	YAKIT POMPA SOKETİ MERCEDES-BENZ (7 PİN)		7013 7S016
107-016	07 PİN	                	SOKET (7 PİN)		7014
107-017	07 PİN	    VOLKSWAGEN BMW MERCEDES          	ÖN RADAR SOKETİ VW - MERCEDES-BENZ - BMW (7 PİN)		7S017
108-001	08 PİN	    VOLKSWAGEN            	51-1107 VW KAPI KİLİT SOKETİ D TIPI ( 8 PIN )		8010 8K010 8020 8S001 8010 8K007
108-002	08 PİN	    VOLKSWAGEN            	51-1107-1 VW D TIPI SOKET KARSILIGI ( 8 PIN )		8K010E 8S002
108-003	08 PİN	    VOLKSWAGEN            	51-1312 VW BOGAZ KELEBEK SOKETI ( 8 PIN )		8007 8K007 8022 8S005 8007
108-004	08 PİN	    VOLKSWAGEN            	51-1402 VW BOGAZ KELEBEK SOKETI ( KUCUK ) ( 8 PIN )		8007A 8K007A 8031 8S003 8007A 8K007A
108-005	08 PİN	    VOLKSWAGEN            	VW TESİSAT ARA SOKETİ ( BÜYÜK TERMİNAL  8 PIN )		8010A 8028 8S004 8010A
108-006	08 PİN	                	D SOKET KARSILIGI ( 8 PIN )		8030
108-007	08 PİN	 FIAT               	51-1197 FIAT DOBLO -  ALBEA - EGEA FAR SOKETI YENI TIP ( 8 PIN )		8004 8K004 5795 8S013 8004 8K004
108-008	08 PİN	           MITSUBISHI   ISUZU  	51-1567 ISUZU & MİTSUBİSHİ ARKA STOP SOKET ( 8 PIN )		8000 8K000 5280 8000
108-009	08 PİN	RENAULT FIAT PEUGEOT     FORD         	51-1221 FORD  & FİAT & RENAULT & PEUGEOT KIZDIRMA ROLE SOKETI ( 8 PIN )		8002 7801 12S005
108-010	08 PİN	   OPEL             	51-1563 OPEL KIZDIRMA ROLE SOKETI ( 8 PIN )		8031 8035 14S006 8K017
108-011	08 PİN	       FORD         	51-1252 FORD ESCORT & MONDEO FAN TESİSAT ARA SOKETİ ( 8 PIN )		8K001 8K001
108-012	08 PİN	 FIAT PEUGEOT              	51-1198 FIAT DOBLO & DUCATO ARKA STOP SOKETI ( 8 PIN )		8005 5517 8S012 8005 8K005
108-013	08 PİN	          HYUNDAI      	51-1405 HYUNDAİ ACCENT ERA BLUE FAR SOKETİ ( 8 PIN )		8009 8K009 5045 8S024 8009 8K009
108-014	08 PİN	                	51-1307 İŞ MAKİNASI DEUTSCH SOKET DT06-8S  ( 8 PIN )		8006 8K006 4058 8S028 8006 8K006K
108-015	08 PİN	                	51-1308 İŞ MAKİNASI DEUTSCH SOKET KARSILIGI  DT04-8P  ( 8 PIN )		8006E 8K006E 4059 8S029 8006E 8K006EK
108-016	08 PİN	                	51-1558 ÜNİVERSAL SOKET ( 8 PIN )		8063 8S015 8K020
108-017	08 PİN	                	51-1559 ÜNİVERSAL SOKET KARSILIGI ( 8 PIN )		8064 8S016 8K020E
108-018	08 PİN	           MITSUBISHI   ISUZU  	51-1501 ISUZU & MİTSUBİSHİ & İŞMAKİNASI SOKETİ ( 8 PIN )		8012 8K012 5299 8S025 8012 8K012
108-019	08 PİN	RENAULT        NISSAN        	51-1500 RENAULT MASTER KALORİFER REZİSTANSI & KANGO FLAŞÖR ANAHTAR SOKETİ  ( 8 PIN )		8011 8K011 8011 8S014 8011 8K011
108-020	08 PİN	RENAULT                	51-1196 RENAULT AYNA AYAR DÜĞME SOKETI ( 8 PIN )		8025 8S020
108-021	08 PİN	       FORD         	51-1429 FORD CAM ANAHTAR SOKETI ( 8 PIN )		8013 8K0013 5540 8S017 8013
108-023-G	08 PİN	                	51-1360-1 TEYP SOKETI ****GRI ( 8 PIN )		
108-023-K	08 PİN	                	51-1360 TEYP SOKETI HOPARLOR KAHVERENGI ( 8 PIN )		8008B 8K008B 8008B
108-023-S	08 PİN	                	51-1359 TEYP SOKETI ****SIYAH ( 8 PIN )		
108-024	08 PİN	                	51-1404 TAKOGRAF SOKETI ****KABLOSUZ		8008A 8K008A 8S026 8008A
108-024K	08 PİN	                	51-1404 TAKOGRAF SOKETİ		8008A 8K008A 8S026 8008A
108-024-1	08 PİN	                	51-1403 TAKOGRAF SOKETI ****KABLOSUZ		8008 8K008 8S027 8008 8K008K
108-024-1K	08 PİN	                	51-1403 TAKOGRAF SOKETİ		8008 8K008 8S027 8008 8K008K
108-024-2	08 PİN	                	51-1404 TAKOGRAF SOKETI ***KABLOSUZ		8S008
108-025	08 PİN	RENAULT                	51-1530 RENAULT PARK & SİS TESİSAT SOKET KARSILIGI ( 8 PIN )		8026E 8K010E
108-026	08 PİN	                	SOKET (8 PİN)		8016 8K016 8S010
108-027	08 PİN	      MERCEDES          	TYKO SİNYAL SOKETİ MERCEDES-BENZ - (AUDI A6-A7 RADAR SENSÖRÜ SOKETİ) (8 PİN)		8015 8K015 8780 8S006
108-028	08 PİN	                	FAR SOKETİ GRAND CHEROKEE - JEEP (8 PİN)		8020
108-029	08 PİN	                	SOKET (8 PİN)		8017 8K017 8S007
108-030	08 PİN	         TOYOTA       	ŞANZUMAN SOKETİ TOYOTA (8 PİN)		8019
108-031	08 PİN	                	SOKET (8 PİN)		8K016 8K016
108-032	08 PİN	                	SOKET (8 PİN)		8K017
108-033	08 PİN	                	İŞ MAKİNASI SOKETİ (CAT SİYAH) (8 PİN)		8111A
108-034	08 PİN	                	İŞ MAKİNASI SOKETİ (SİYAH DİŞİ) (8 PİN)		8111B
108-035	08 PİN	                	İŞ MAKİNASI SOKETİ (CAT BEYAZ) (8 PİN)		8112A
108-036	08 PİN	                	İŞ MAKİNASI SOKETİ (CAT BEYAZ DİŞİ) (8 PİN)		8112B
108-037	08 PİN	                	İŞ MAKİNASI SOKETİ (BEYAZ) (8 PİN)		8110
108-038	08 PİN	                	ÖN SİS-PARK TESİSAT SOKETİ  (8 PİN)		8026 8010 8S018 8K010
108-039	08 PİN	       FORD         	FORD STOP SOKETİ 8 Lİ SİYAH		8018 8K018
108-039-1	08 PİN	       FORD         	FORD STOP SOKETİ 8 Lİ GRİ		8018A
108-040	08 PİN	RENAULT FIAT PEUGEOT OPEL             	OPEL HAVA AKIŞMETRE SOKETİ FIAT-CITROEN RADAR SENSÖR SOKETİ	YENİ	8K024
108-041	08 PİN	RENAULT                	RENAULT HONDA FAR SOKETİ	YENİ	DUY8026E
109-001	09 PİN	RENAULT                	51-1030 MASTER MEGANE I R19 REZISTANS SOKETI ( 9 PIN )		9001 9K001 5766 9S002 9001 9K001
109-002	09 PİN	RENAULT   OPEL            PMC 	51-1089-2 RENAULT DACİA PSA DİREKSİYON POMPA - OPEL FAR SOKETI ( 9 PIN )		9002 9K002 5778 9S001 9002 9K002
109-003	09 PİN	               PMC 	51-1491 MAN KAMYON MAZOT POMPA SOKETI  ( 9 PIN )		5797
109-004	09 PİN	    VOLKSWAGEN            	KIZDIRMA RÖLE SOKETİ VW 1.6 TDİ / 2.0 TDİ (9 PİN)		9003
110-001	10 PİN	RENAULT                	51-1027-1 MEGANE II MANUEL KLIMA REZISTANS SOKETI		8003 8K003 7540 8003 10K009
110-002	10 PİN	  PEUGEOT OPEL             	51-1090 OPEL & PEUGEOT FAR SOKETI ( 10 PIN )		10005 10K005 7538 10S004 10005 10K005
110-003	10 PİN	 FIAT   VOLKSWAGEN   FORD        PMC 	51-1110 VW AUDİ FİAT FORD FAR SOKETİ SOKET KALIN ( 10 PIN )		10001 10K001 5499 10S003 10001 10K001
110-003-1	10 PİN	 FIAT   VOLKSWAGEN            	VW PASSAT JETTA GOLF AUDİ FİAT DOBLO FAR SOKETİ (10 PİN) **** DEMONTE		10001A 10K001
110-004	10 PİN	    VOLKSWAGEN           PMC 	51-1199 VW PASSAT TESİSAT ARA SOKETİ & TRANSPORTER T4 MAZOT POMPA SOKETİ ****KARSILIGI ( 10 PIN )		10001E 5499B
110-005	10 PİN	    VOLKSWAGEN            	51-1109 VW AUDİ  D TİPİ SOKET INCE ( 10 PIN )		1023 10S001 10K008
110-005-1	10 PİN	    VOLKSWAGEN            	VW BOGAZ KELEBEK SOKETI ( 10 PIN )		10S002
110-006	10 PİN	                	D SOKET INCE KARSILIGI ( 10 PIN )		1024
110-007	10 PİN	                	51-1260 UNIVERSAL SOKET ( 10 PIN )		10006 10K006 1020 10S006 10006 10K006
110-008	10 PİN	                	51-1261 UNIVERSAL SOKET KARSILIGI ( 10 PIN )		10006E 10K006E 1021 10S007 10006E 10K006E
110-009	10 PİN	RENAULT                	51-1200 MODÜS & MASTER YM FAR - AYNA SOKETI ( 10 PIN )		10003 10K003 1089 10S009 10003 10K003
110-010	10 PİN	RENAULT                	51-1277 KANGO KLİMA RÖLE - REZISTANS - CLİO MASTER MOTORLU AYNA ANAHTAR SOKETI ( 10 PIN )		10002 10K002 1002 10002 10K002
110-011	10 PİN	RENAULT                	51-1344 RENAULT FLUENCE SIS & PARK SENSÖR TESISAT SOKETI ( 10 PIN )		10004 10K004 8010 10K004
110-012	10 PİN	          HYUNDAI      	51-1406 HYUNDAI I30-IX30 FAR SOKETI ( 10 PIN )		10007 10K007 1007 10S010 10007 10K007
110-012-1	10 PİN	          HYUNDAI      	51-1406-1 HYUNDAI I30-IX30 FAR SOKETI ( 10 PIN )		10007A 10K007A 10S011 10007A 10K007A
110-013	10 PİN	  PEUGEOT              	FAR SOKETİ PEUGEOT P301 / CİTROEN  C-ELİZE  (10 PİN)		10010 10S008
110-013-1	10 PİN	  PEUGEOT              	FAR SOKETİ PEUGEOT P301 / CİTROEN  C-ELİZE  (10 PİN)	YENİ	10010A
110-014	10 PİN	                	KONTAK SOKETİ JAPON TİPİ (10 PİN)		10012A
111-001	11 PİN	 FIAT  OPEL VOLKSWAGEN            	51-1521 VW & OPEL & FİAT KIZDIRMA ROLE SOKETI ( 11 PIN )		11002 7804
111-002	11 PİN	    VOLKSWAGEN            	51-1610 VW / SEAT / SDOKA DSG ŞANZUMAN SOKETİ  ( 25 FİŞLİ / 11 TANESİ DOLU )		25001 4896
111-003	11 PİN	    VOLKSWAGEN            	RÖLE SOKETİ VOLKSWAGEN (11 PİN)	YENİ	11001
112-001	12 PİN	RENAULT                	51-1031 RENAULT MEGANE II FAR SIGORTA KUTUSU SOKETI	YENİ	12001S 12K001 5550 12S002 12001 12K001
112-001-K	12 PİN	RENAULT                	51-1031 RENAULT MEGANE II FAR SİGORTA KUTUSU SOKETİ	YENİ	12001K 12K001A 5550 12S003 12K001S
112-002-1	12 PİN	       FORD         	51-1201 FORD TRANSIT SILGI KOLU SOKETI ( 12 PIN )		
112-003	12 PİN	                	51-1309 İŞ MAKİNASI DEUTSCH SOKET ( 12 PIN )		12003 12K003 4060 12S008 12003 12K003
112-004	12 PİN	                	51-1310 İŞ MAKİNASI DEUTSCH SOKET KARSILIGI ( 12 PIN )		12003E 12K003E 4061 12S009 12003E 12K003E
112-005	12 PİN	                	51-1407 MEGANE II SIGORTA KUTU SOKETI	YENİ	12002 12K002 1205B 12K002
112-006	12 PİN	                	51-1446 IVECO KONTROL UNITESI SOKETI ( 12 PIN )		
112-007	12 PİN	    VOLKSWAGEN   FORD         	51-1493 FORD & VW & AUDİ XENON FAR SOKETİ ( 12 PIN )		12004 12K004 5021C 12S001 12004 12K004
112-008	12 PİN	     BMW           	51-1568 BMW FAR SOKETI ( 12 PIN )		12000 12K000 7036 12000 12K000
112-009	12 PİN	                	51-1597 MEGANE II CAM DUGME SOKETI ( 12 PIN )		12005 12K005 12S004
112-011	12 PİN	                	51-1528 SOKET ( 12 PIN )	YENİ	
112-013	12 PİN	       FORD         	FAR SOKETİ FORD GRİ (12 PİN)	YENİ	12006G
112-014	12 PİN	       FORD         	FAR SOKETİ FORD SİYAH (12 PİN)	YENİ	12006S 12K006
112-015	12 PİN	 FIAT              PMC 	MAZOT POMPA SOKETİ IVECO-FIAT (12 PİN)	YENİ	12007 12K006 12K007
114-001K	14 PİN	    VOLKSWAGEN            	51-1232-1 VW & AUDİ XENON FAR SOKETI KABLOLU ( 14 PIN )	YENİ	14001 14K001 5021 14S003 14001 14K001
114-001K-1	14 PİN	    VOLKSWAGEN            	FAR SOKETİ AUDI- VOLKSWAGEN (14 PİN)		14001A
114-002	14 PİN	    VOLKSWAGEN            	XENON VW & AUDİ XENON FAR SOKETI KARSILIGI  ***KABLOLU   ( 14 PIN )		14001E 14K001E
114-003	14 PİN	    VOLKSWAGEN            	51-1462 VW FAN ROLE SOKETI ( 14 PIN )	YENİ	14003 14K003 5040 14S001 14003 14K003
114-005	14 PİN	 FIAT               	51-1438 FIAT LİNEA G.PUNTO  2012-- FAR SOKETI ( ***14 PIN  ***14 KABLOLU )		7004 7K004 5796 14S014 14K007
114-006K	14 PİN	      MERCEDES          	51-1408 MERCEDES XENON FAR SOKETI KABLOLU OEM ( 14 PIN )		14002 14K002 14S002 14002 14K002
114-006-1	14 PİN	      MERCEDES          	FAR SOKETİ MERCEDES-BENZ (14 PİN)		14002A
114-007	14 PİN	   OPEL             	ŞANZUMAN SOKETİ OPEL ASTRA J / K & INSIGNIA & MOKKA   (6T35 / 6T40 / 6T45)		14S005
114-008	14 PİN	          HYUNDAI      	FAR SOKETİ HYUNDAI İ30 (14 PİN)		14004 14K004 14S007
114-009	14 PİN	                	AD BLUE TANK SOKETİ (14 PİN)		14006
